,tsne-2d-one,tsne-2d-two
0,-67.61264,37.98736
1,3.6903179,-52.853607
2,-31.581104,-44.14867
3,54.44416,5.622179
4,-9.501326,52.62026
5,-30.469912,-46.254166
6,-16.70532,33.81276
7,-0.31086558,65.6745
8,-21.983334,9.903272
9,-71.80617,23.416239
10,63.084152,14.221703
11,58.78811,-30.808413
12,-48.90624,43.528793
13,54.754787,13.428208
14,-53.992546,-37.160683
15,41.210796,18.209778
16,-24.42159,52.085464
17,-68.71813,38.965763
18,23.215534,37.587486
19,-16.557716,42.675373
20,-41.564747,17.91377
21,53.00074,-40.205017
22,60.847473,-27.514658
23,-20.284916,-4.4975133
24,-13.998966,47.573833
25,82.4429,-5.62387
26,-56.951145,57.263832
27,-12.058045,52.611454
28,54.12228,8.674992
29,-59.333,-26.980211
30,22.675991,5.1749473
31,-63.84855,-25.3539
32,24.26144,19.091148
33,4.835944,42.25367
34,-54.387524,10.964479
35,20.695566,-28.763216
36,-57.60537,61.370125
37,-57.033844,-26.469547
38,-7.7446413,-25.352522
39,-48.831474,-43.35451
40,-36.296852,-29.976257
41,-60.9362,33.23015
42,-18.818583,41.389484
43,-14.170783,-33.34865
44,28.289364,3.2251906
45,10.048359,-2.287551
46,-65.96279,-29.30292
47,21.129133,-50.063488
48,-29.441948,42.60929
49,-4.706691,53.460594
50,40.90513,-46.394318
51,32.58666,36.983253
52,-22.965326,-8.300733
53,38.354153,17.336018
54,76.4891,-20.77724
55,50.08629,7.041514
56,-4.6598773,52.418507
57,-33.843422,-41.939304
58,-40.18387,52.69296
59,-30.494133,-28.518047
60,-46.12962,67.54959
61,-6.5751176,-6.275622
62,-24.479237,47.092342
63,25.04066,-5.936604
64,-66.61978,11.961377
65,-20.069757,46.945866
66,60.424015,-31.61946
67,-1.7306457,45.069973
68,24.654074,15.733037
69,81.33517,-10.00706
70,-49.396755,68.545235
71,66.75916,16.62139
72,45.430332,-8.632897
73,-52.50159,7.7236676
74,-48.055187,-38.575207
75,-55.420643,51.31545
76,26.973547,0.7533084
77,-3.755087,-45.63035
78,-42.540535,21.721323
79,-70.677124,26.752825
80,-32.53079,66.42348
81,47.569405,-41.2717
82,11.349481,-40.757156
83,-41.346935,58.63818
84,7.9999185,22.556065
85,-4.12389,48.066097
86,-62.790638,34.83373
87,26.028597,20.18959
88,66.15894,-37.081284
89,-32.0226,-56.010868
90,29.362703,14.565872
91,54.30448,-54.288757
92,-31.992683,12.679556
93,20.33643,-1.991205
94,-64.3455,-33.119614
